Date,Country,State/Province,Admin2,CasesCount,DeathsCount,RecoveryCount,TotalDosesCount,PartiallyVaccinatedCount,FullyVaccinatedCount,CasesCountSource,DeathsCountSource,RecoveryCountSource,TotalDosesCountSource,PartiallyVaccinatedCountSource,FullyVaccinatedCountSource,PopulationCount
2020-01-01,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-02,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-03,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-04,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-05,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-06,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-07,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-08,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-09,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-10,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-11,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-12,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-13,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-14,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-15,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-16,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-17,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-18,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-19,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-20,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-21,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-22,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-23,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-24,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-25,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-26,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-27,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-28,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-29,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
2020-01-30,Afghanistan,TOTAL,,0,0,,,,,ECDC,ECDC,,,,,38041757
