Date,Country,State/Province,Admin2,CasesCount,DeathsCount,RecoveryCount,TotalDosesCount,PartiallyVaccinatedCount,FullyVaccinatedCount,CasesCountSource,DeathsCountSource,RecoveryCountSource,TotalDosesCountSource,PartiallyVaccinatedCountSource,FullyVaccinatedCountSource,PopulationCount
2023-05-01,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-02,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-03,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-04,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-05,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-06,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-07,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-08,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-09,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-10,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-11,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-12,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-13,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-14,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-15,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-16,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-17,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-18,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-19,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-20,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-21,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-22,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-23,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-24,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-25,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-26,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-05-27,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
